product_name,brands,categories_en,origins_en,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,nutrition-score-fr_100g
croissants industriels,"brioche pasquier, Pasquier","Snacks,Sweet snacks,Viennoiseries",France,1766.0,22.0,12.0,48.0,10.0,8.2,0.8,18.0
Brunswick ham sliced cooked and beechwood smoked ham,"Sainsbury's,by sainsbury's","Meats,Prepared meats,Hams,Cured-meat",Foreign,660.0,7.8,3.2,0.6,0.6,21.0,1.99898,12.0
gâche en tranches,Thomas Brioche,"Snacks,Sweet snacks,Viennoiseries,Brioches",France,1611.0,15.9,11.6,52.6,16.2,8.9,0.091,17.0
Taste the Difference Ossau-Iraty,"Taste the Difference,Sainsbury's","Dairies,Fermented foods,Fermented milk products,Cheeses,French cheeses,Uncooked pressed cheeses,Sheep's-milk cheeses,Ossau-Iraty cheeses",France,1720.0,35.5,22.7,0.5,0.5,22.9,1.8,17.0
Full fat mould ripened soft goat's milk cheese,"Sainsbury's,Taste the Difference","Dairies,Fermented foods,Fermented milk products,Cheeses,Goat cheeses",France,291.0,23.0,16.3,1.0,1.0,20.0,1.5,11.0
Emmental grand cru bloc,Boni,"Dairies,Fermented foods,Fermented milk products,Cheeses,Cooked pressed cheeses,Cow cheeses,Emmentaler,French cheeses,French emmentaler",France,502.0,9.6,6.3,0.0,0.0,8.4,0.12,2.0
Reblochon,Monoprix,"Dairies,Fermented foods,Fermented milk products,Cheeses,Cow cheeses,French cheeses,Uncooked pressed cheeses,Reblochon,Aoc-cheeses,Labeled-cheeses,fr:produits-labellises",France,1414.0,28.0,22.0,0.6,0.5,21.0,1.3,14.0
Fromage de l'abbaye de Tamié,Abbaye de Tamié,"Dairies,Fermented foods,Fermented milk products,Cheeses,Cow cheeses,Abbaye cheeses",France,1423.0,26.0,15.9,0.0,0.0,26.0,1.6,16.0
Bretzeli Classic,La fabrique,"Snacks,Salty snacks,Appetizers,Crackers",France,460.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
MERVEILLES saupoudrées de sucre cristal,Carrefour,"Biscuits and cakes,Pastries",France,1807.0,21.0,12.0,51.0,12.0,10.0,4.0,27.0
Farce à tomate,Novoviande,Stuffing,France,1096.0,18.54,6.97,4.39,2.0,19.16,1.63,16.0
Cantal Vieux AOP,"Leclerc,traditions terroirs","Dairies,Fermented foods,Fermented milk products,Cheeses,Cow cheeses,French cheeses,Uncooked pressed cheeses,fr:Cantal",France,1661.0,30.0,21.0,1.5,0.0,26.0,2.1,18.0
La crème entière de Normandie semi-épaisse,"Elle & Vire,Savencia","Dairies,Creams,fr:Crèmes entières",France,1230.0,30.0,21.1,3.6,3.2,2.3,0.08,13.0
Tomme noire pyrennees,Capitoul,"Dairies,Fermented foods,Fermented milk products,Cheeses,French cheeses,Mountain products,Mountain cheeses,Tomme cheese from cow's milk,fr:Tomme des Pyrénées",France,1448.0,28.0,20.0,1.5,1.5,22.0,1.8,16.0
Crêpes Maison,Leclerc,"Crêpes and galettes,Crêpes,fr:Crêpes de froment",France,1180.0,13.0,4.4,25.0,12.0,16.0,0.67,11.0
roti de porc,monique RANOU,"Meats,Prepared meats,Products with reduced salt,Prepared meats with less salt",France,513.0,2.8,1.3,0.7,0.7,23.4,1.91,5.0
Doony's x4,"Carrefour,Montagne","Biscuits and cakes,Cakes,Doughnuts",France,1669.0,19.0,8.7,50.0,26.0,5.0,0.89,20.0
Steak Haché Bœuf,Ferme Du Bas Bouchage,"Meats,Beef,Steaks,Beef steaks,Fresh meats,Ground steaks,Ground beef steaks,Fresh ground steaks,Fresh ground beef steaks",France,707.0,9.06,3.67,0.0,0.0,20.6,0.06,0.0
Pizza Junior,Leclerc,"Meals,Meat-based products,Pizzas pies and quiches,Meals with meat,Pizzas,Pork meals,Refrigerated foods,Ham pizzas,Refrigerated meals,Cured Ham Pizza",France,1167.0,14.0,7.4,20.0,2.2,18.0,1.5,6.0
pain du maghreb,carefour,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Unleavened breads",France,1201.0,4.5,0.5,53.0,4.3,8.0,1.6,6.0
Camembert,Les Fromages de Stéphanie,"Dairies,Fermented foods,Fermented milk products,Cheeses,Cow cheeses,Soft cheeses with bloomy rind,Camemberts,French cheeses,Unpasteurised cheeses,Camemberts from raw milk",France,1200.0,22.0,13.7,1.5,0.3,17.0,1.8,15.0
Roti cuit Bio LS,SAS Consolaro,"Meats,Pork,Pork roasts",France,611.0,6.8,2.4,0.1,0.1,21.0,2.3,13.0
JAMBON AC LABEL RGE LEFOUE,Le Foué,"Meats,Prepared meats,fr:Charcuteries cuites",France,782.0,12.0,4.3,0.7,0.6,19.0,1.9,14.0
Morbier AOP,"Nos Régions ont du Talent,Leclerc","Dairies,Fermented foods,Fermented milk products,Cheeses,Cow cheeses,French cheeses,Uncooked pressed cheeses,Morbier",France,1464.0,29.0,20.0,0.0,0.0,23.0,1.3,14.0
morbier,E.Leclerc,"Dairies,Fermented foods,Fermented milk products,Cheeses,Cow cheeses,French cheeses,Uncooked pressed cheeses,Morbier",France,1443.0,29.0,19.0,0.0,0.0,21.0,1.5,15.0
Pâté en Croûte de Volaille,Carrefour,"Meats,Prepared meats,fr:Charcuteries cuites,Pâté in crust",France,1099.0,16.0,8.9,18.0,1.4,11.0,1.6,18.0
La Tomme du Pays Basque,Istara,"Dairies,Fermented foods,Fermented milk products,Cheeses,French cheeses,Mountain products,Mountain cheeses,Tomme cheese from cow's milk,fr:Tomme des Pyrénées",France,1581.0,31.8,22.5,0.0,0.0,23.9,1.8,16.0
brochette de poulet,le gaulois,fr:viande-grille,France,523.0,6.3,0.0,0.0,0.0,17.0,0.25,-3.0
Jambon cuit supérieur,André,"Meats,Prepared meats,Hams,White hams",France,732.0,10.5,4.0,0.6,0.5,20.0,1.8,12.0
